date,sales,week
2025-07-02 23:49:44.961718,794.0055837685951,27
2025-07-01 23:49:44.961726,820.2545549820785,27
2025-06-30 23:49:44.961728,910.7602498490935,27
2025-06-29 23:49:44.961729,987.25748357473,26
2025-06-28 23:49:44.961730,842.0928750498715,26
2025-06-27 23:49:44.961730,885.5796920296788,26
2025-06-26 23:49:44.961731,736.4055032984046,26
2025-06-25 23:49:44.961731,1208.3573471104103,26
2025-06-24 23:49:44.961732,800.0331032605234,26
2025-06-23 23:49:44.961732,795.9060366711798,26
2025-06-22 23:49:44.961733,854.9356907401309,25
2025-06-21 23:49:44.961733,1241.5218775727355,25
2025-06-20 23:49:44.961734,1089.3200327133216,25
2025-06-19 23:49:44.961735,1420.5574959937505,25
2025-06-18 23:49:44.961735,1025.4614379837294,25
2025-06-17 23:49:44.961736,1135.100308109092,25
2025-06-16 23:49:44.961736,1029.881136397975,25
2025-06-15 23:49:44.961737,1091.5981782568963,24
2025-06-14 23:49:44.961737,1223.509487677101,24
2025-06-13 23:49:44.961738,1075.9415683562306,24
2025-06-12 23:49:44.961738,1008.0611279750765,24
2025-06-11 23:49:44.961739,1133.8577989203075,24
2025-06-10 23:49:44.961739,755.7428112862651,24
2025-06-09 23:49:44.961740,861.3958677105645,24
2025-06-08 23:49:44.961740,667.827613575651,23
2025-06-07 23:49:44.961741,943.8621405960516,23
2025-06-06 23:49:44.961741,597.3753278705622,23
2025-06-05 23:49:44.961742,801.2723964121813,23
2025-06-04 23:49:44.961742,1036.0035130197364,23
2025-06-03 23:49:44.961743,1151.4650092475902,23
