date,sales,week
2025-07-02 23:59:04.100557,1144.6550659987668,27
2025-07-01 23:59:04.100564,1034.043099265093,27
2025-06-30 23:59:04.100566,763.533886412978,27
2025-06-29 23:59:04.100566,1091.85120683298,26
2025-06-28 23:59:04.100567,826.0610961477856,26
2025-06-27 23:59:04.100568,935.9024667213955,26
2025-06-26 23:59:04.100568,827.0722769106072,26
2025-06-25 23:59:04.100569,823.6208507813412,26
2025-06-24 23:59:04.100569,1389.2429158314505,26
2025-06-23 23:59:04.100570,838.1801325708172,26
2025-06-22 23:59:04.100570,1101.7631744574232,25
2025-06-21 23:59:04.100571,850.6280939398666,25
2025-06-20 23:59:04.100571,875.2431503364542,25
2025-06-19 23:59:04.100572,1199.6100094227145,25
2025-06-18 23:59:04.100572,779.3294097046827,25
2025-06-17 23:59:04.100573,1010.1760042179345,25
2025-06-16 23:59:04.100573,1043.0130396306863,25
2025-06-15 23:59:04.100574,809.0301171076986,24
2025-06-14 23:59:04.100574,1190.5627706909365,24
2025-06-13 23:59:04.100574,1088.93455367868,24
2025-06-12 23:59:04.100575,913.658991494094,24
2025-06-11 23:59:04.100575,1127.6184106703215,24
2025-06-10 23:59:04.100576,919.1355232841477,24
2025-06-09 23:59:04.100576,1172.4615481393116,24
2025-06-08 23:59:04.100577,959.2171967824166,23
2025-06-07 23:59:04.100577,792.3623143020145,23
2025-06-06 23:59:04.100577,1448.9849956242647,23
2025-06-05 23:59:04.100578,902.1343261476183,23
2025-06-04 23:59:04.100578,1131.0054866868286,23
2025-06-03 23:59:04.100579,945.1916516678344,23
