date,sales,week
2025-07-02 23:52:03.798282,537.7127315141398,27
2025-07-01 23:52:03.798290,954.2237816736493,27
2025-06-30 23:52:03.798292,589.032318584997,27
2025-06-29 23:52:03.798292,1000.7623227264821,26
2025-06-28 23:52:03.798293,1109.2102204258179,26
2025-06-27 23:52:03.798294,1228.3748421535095,26
2025-06-26 23:52:03.798294,682.7540775673749,26
2025-06-25 23:52:03.798295,654.164795473898,26
2025-06-24 23:52:03.798295,1002.1949862132728,26
2025-06-23 23:52:03.798296,886.410950673916,26
2025-06-22 23:52:03.798296,1146.0786789948106,25
2025-06-21 23:52:03.798297,529.2187605347342,25
2025-06-20 23:52:03.798297,448.37518040421946,25
2025-06-19 23:52:03.798298,1062.865932859455,25
2025-06-18 23:52:03.798298,1054.5650888927958,25
2025-06-17 23:52:03.798299,927.2798971759557,25
2025-06-16 23:52:03.798299,1224.9033036334329,25
2025-06-15 23:52:03.798299,883.4992325306422,24
2025-06-14 23:52:03.798300,813.2036810657735,24
2025-06-13 23:52:03.798300,779.436454041856,24
2025-06-12 23:52:03.798301,913.580857385878,24
2025-06-11 23:52:03.798301,1032.355897051409,24
2025-06-10 23:52:03.798302,811.1057423833009,24
2025-06-09 23:52:03.798302,1305.611681329838,24
2025-06-08 23:52:03.798302,1318.5944452768283,23
2025-06-07 23:52:03.798303,848.5203556108343,23
2025-06-06 23:52:03.798303,978.3447267543334,23
2025-06-05 23:52:03.798304,995.9312439662461,23
2025-06-04 23:52:03.798304,1206.8908360974756,23
2025-06-03 23:52:03.798305,1132.6191814997048,23
